,DATE,payrolls,unemployment_rate,initial_claims,cont_claims,2yr_yield,10yr_yield,10yr_2yr_spread,sentiment,month,year,month_year,job_opening_rate,hire_rate,quit_rate,discharge_rate,sentiment_lag1,payrolls_lag1,payrolls_change,unemployment_rate_3mo_avg,initial_claims_lag1,initial_claims_momentum,cont_claims_lag1,cont_claims_momentum,2yr_yield_volatility,10yr_yield_volatility,jor_3mo_avg,jor_momentum,hire_3mo_avg,hire_momentum,quit_3mo_avg,quit_momentum,discharge_3mo_avg,discharge_momentum,log_initial_claims,hire_rate_squared,unemployment_rate_log,payrolls_pct_change,predicted_payrolls,predicted_payrolls_pct_change,upside_surprise,downside_surprise,surprise
144,2013-07-31,136391.0,7.3,346000.0,3020250.0,0.3409090909090909,2.5822727272727275,2.2413636363636367,85.1,7,2013,2013-07-01,2.8,3.6,1.872222222222222,1.4111111111111112,84.1,136279.0,112.0,7.433333333333333,344600.0,-1250.0,2992800.0,-21250.0,0.050221952275744865,0.32806543306882735,2.9333333333333336,-0.10000000000000009,3.603703703703704,0.0,1.8796296296296298,-0.022222222222222365,1.4092592592592592,0.005555555555555536,12.75419405403986,12.96,1.9878743481543455,0.0008218434241518136,136378.38222708178,0.0006650145685953568,0,0,1
145,2013-08-31,136646.0,7.2,333400.0,2934400.0,0.3563636363636364,2.7372727272727273,2.380909090909091,82.1,8,2013,2013-08-01,2.9,3.605555555555555,1.8833333333333333,1.4055555555555557,85.1,136391.0,255.0,7.333333333333333,346000.0,-14350.0,3020250.0,-77850.0,0.011665358054566283,0.22170187586727427,2.9,-0.10000000000000009,3.5999999999999996,-0.011111111111111516,1.8814814814814813,0.005555555555555314,1.4111111111111112,0.005555555555555536,12.71709824929883,13.000030864197528,1.9740810260220096,0.0018696248286176331,136539.23546788134,0.0011794628897396908,1,0,2
146,2013-09-30,136821.0,7.2,314000.0,2895750.0,0.404,2.8095,2.4055,77.5,9,2013,2013-09-01,2.9,3.605555555555555,1.872222222222222,1.4055555555555557,82.1,136646.0,175.0,7.233333333333333,333400.0,-30600.0,2934400.0,-97050.0,0.032884973584176566,0.11609910450171146,2.8666666666666667,-0.10000000000000009,3.603703703703703,0.011111111111111072,1.8759259259259258,-0.01666666666666683,1.4074074074074074,-0.011111111111111072,12.65714826489039,13.000030864197528,1.9740810260220096,0.0012806814689050317,136827.9645129925,0.0021146232738287196,1,0,2
147,2013-10-31,137041.0,7.2,358500.0,2928500.0,0.33545454545454545,2.6159090909090907,2.2804545454545457,73.2,10,2013,2013-10-01,3.0,3.6166666666666667,1.877777777777778,1.3944444444444444,77.5,136821.0,220.0,7.2,314000.0,12500.0,2895750.0,-91750.0,0.035130453460769255,0.0978292315206893,2.9333333333333336,0.20000000000000018,3.609259259259259,0.016666666666666607,1.8777777777777775,0.00555555555555598,1.401851851851852,-0.01666666666666683,12.789683939021812,13.080277777777779,1.9740810260220096,0.001607940301561861,136931.61263595583,0.000757506868805935,0,0,1
148,2013-11-30,137317.0,6.9,328200.0,2851200.0,0.3036842105263158,2.718421052631579,2.4147368421052633,75.1,11,2013,2013-11-01,2.9,3.594444444444444,1.8666666666666667,1.3888888888888888,73.2,137041.0,276.0,7.1000000000000005,358500.0,-5200.0,2928500.0,-83200.0,0.05126904709178216,0.09685170539926773,2.933333333333333,0.0,3.6055555555555556,-0.011111111111111072,1.8722222222222225,-0.016666666666666607,1.3962962962962961,-0.01666666666666683,12.701378457638128,12.920030864197528,1.9315214116032138,0.0020139958114724354,137158.10395838748,0.0016540469952237569,1,0,2
149,2013-12-31,137372.0,6.7,346000.0,2858500.0,0.33999999999999997,2.901904761904762,2.5619047619047617,82.5,12,2013,2013-12-01,2.9,3.611111111111111,1.872222222222222,1.3944444444444444,75.1,137317.0,55.0,6.933333333333334,328200.0,32000.0,2851200.0,-37250.0,0.019785735197136847,0.14489565078186784,2.9333333333333336,0.0,3.6074074074074076,0.00555555555555598,1.8722222222222225,0.0,1.3925925925925924,-0.011111111111111294,12.75419405403986,13.040123456790123,1.9021075263969205,0.0004005330731082779,137368.42037352675,0.0015333867199205375,1,0,2
150,2014-01-31,137561.0,6.6,326750.0,2876750.0,0.3938095238095238,2.858095238095238,2.4642857142857144,81.2,1,2014,2014-01-01,2.9,3.605555555555555,1.8944444444444444,1.422222222222222,82.5,137372.0,189.0,6.733333333333333,346000.0,-31750.0,2858500.0,-51750.0,0.045344741540546865,0.09582486110078185,2.9,-0.10000000000000009,3.603703703703703,-0.011111111111111516,1.8777777777777775,0.016666666666666385,1.401851851851852,0.02777777777777768,12.696950631486468,13.000030864197528,1.8870696490323797,0.0013758262236844843,137460.37960134775,0.0006694349951099632,0,0,1
151,2014-02-28,137712.0,6.7,335250.0,2848750.0,0.3268421052631579,2.709473684210526,2.382631578947368,81.6,2,2014,2014-02-01,3.1,3.6,1.9055555555555557,1.3888888888888888,81.2,137561.0,151.0,6.666666666666667,326750.0,7050.0,2876750.0,-2450.0,0.035480581997881386,0.10086076237235289,2.9666666666666663,0.20000000000000018,3.6055555555555556,0.00555555555555598,1.8907407407407408,0.03888888888888897,1.401851851851852,0.0,12.722631801143924,12.96,1.9021075263969205,0.001097694840834329,137695.74734671312,0.0017122588053950505,1,0,2
152,2014-03-31,137985.0,6.7,321000.0,2779200.0,0.3990476190476191,2.723333333333333,2.3242857142857143,80.0,3,2014,2014-03-01,3.1,3.6333333333333333,1.8944444444444444,1.422222222222222,81.6,137712.0,273.0,6.666666666666667,335250.0,-25000.0,2848750.0,-79300.0,0.04026104198340582,0.08209874859772347,3.033333333333333,0.20000000000000018,3.6129629629629627,0.022222222222222143,1.8981481481481481,0.022222222222222365,1.4111111111111108,0.02777777777777768,12.679196402112153,13.20111111111111,1.9021075263969205,0.001982398048100409,137876.16270822307,0.001310246430891393,1,0,2
153,2014-04-30,138298.0,6.2,322750.0,2721000.0,0.41714285714285715,2.705238095238095,2.288095238095238,84.1,4,2014,2014-04-01,3.2,3.6,1.8944444444444444,1.4055555555555557,80.0,137985.0,313.0,6.533333333333332,321000.0,-4000.0,2779200.0,-155750.0,0.04777603941449443,0.009464563111728665,3.1333333333333333,0.30000000000000027,3.6111111111111107,-0.005555555555555092,1.8981481481481481,0.0,1.4055555555555557,-0.016666666666666385,12.68463330870889,12.96,1.824549292051046,0.002268362503170529,138136.47775286649,0.0018880351725070188,1,0,2
154,2014-05-31,138513.0,6.3,313800.0,2667400.0,0.38904761904761903,2.559047619047619,2.17,81.9,5,2014,2014-05-01,3.3,3.6166666666666667,1.877777777777778,1.4000000000000001,84.1,138298.0,215.0,6.3999999999999995,322750.0,-21450.0,2721000.0,-181350.0,0.014240669726305263,0.09008226692750425,3.1999999999999997,0.19999999999999973,3.6166666666666667,0.016666666666666607,1.888888888888889,-0.02777777777777768,1.4092592592592592,0.011111111111111294,12.656511119281069,13.080277777777779,1.840549633397487,0.0015546139495872247,138501.12442424524,0.0026397565459221894,1,0,2
155,2014-06-30,138849.0,6.1,313500.0,2588750.0,0.4523809523809524,2.5985714285714288,2.146190476190476,82.5,6,2014,2014-06-01,3.5,3.594444444444444,1.8888888888888888,1.4166666666666667,81.9,138513.0,336.0,6.2,313800.0,-7500.0,2667400.0,-190450.0,0.03173372777482026,0.07562138655361669,3.3333333333333335,0.3999999999999999,3.603703703703704,-0.038888888888889195,1.887037037037037,-0.005555555555555536,1.4074074074074074,-0.005555555555555314,12.655554639055113,12.920030864197528,1.8082887711792655,0.0024257650906414074,138759.52515283777,0.001865694084915992,1,0,2
