DATE,payrolls,unemployment_rate,initial_claims,cont_claims,2yr_yield,10yr_yield,10yr_2yr_spread,sentiment,sentiment_lag1,payrolls_lag1,payrolls_change,unemployment_rate_3mo_avg,initial_claims_lag1,initial_claims_momentum,cont_claims_lag1,cont_claims_momentum,2yr_yield_volatility,10yr_yield_volatility
2000-01-31,131011.0,4.0,288400.0,2109800.0,6.44,6.661,0.221,112.0,,,,,,,,,,
2000-02-29,131120.0,4.1,293750.0,2147500.0,6.6105,6.519499999999999,-0.091,111.3,112.0,131011.0,109.0,,288400.0,,2109800.0,,,
2000-03-31,131604.0,4.0,274750.0,2079000.0,6.528260869565218,6.256521739130435,-0.2717391304347826,107.1,111.3,131120.0,484.0,4.033333333333333,293750.0,,2147500.0,,0.08526772119924941,0.20525694434295766
2000-04-30,131884.0,3.8,271600.0,2015400.0,6.403684210526316,5.990526315789474,-0.4131578947368421,109.2,107.1,131604.0,280.0,3.9666666666666663,274750.0,-16800.0,2079000.0,-94400.0,0.10412763748367321,0.26448827621011095
2000-05-31,132105.0,4.0,282250.0,1989500.0,6.809545454545455,6.440454545454545,-0.3690909090909091,110.7,109.2,131884.0,221.0,3.9333333333333336,271600.0,-11500.0,2015400.0,-158000.0,0.20791172450568332,0.22620796269883575
